,Satellite Name,Latitude,Longitude,Distance from Earth Center (km),Distance from Earth Surface (km)
83,Cluster-2 (FM6/Salsa),43.179806,166.50476,125552.11349031482,119181.11349031482
84,Cluster-3 (FM7/Samba),40.49166,-116.97846999999999,136984.70997408213,130613.70997408213
85,Cluster-4 (FM8/Tango),40.48636,-116.96809999999999,136985.69668749138,130614.69668749138
86,C/NOFS,-35.82485,-166.59995,6604.786275187804,233.78627518780377
87,CRRES,27.018414,-23.769349999999974,40699.95703390183,34328.95703390183
88,CSSWE,8.709011,38.569614,6886.458944095462,515.4589440954624
90,DE-1,27.871597,151.95772,25131.930179387677,18760.930179387677
91,DE-2,-65.57012,-54.40005000000002,6493.507541266386,122.5075412663864
92,DEMETER,26.279078,-40.06765999999999,7039.776259840807,668.7762598408071
93,DME-A,-81.00401,137.84862,8475.628793911315,2104.6287939113154
94,DMSP-06,58.255516,-176.14316,7185.549202112545,814.5492021125447
95,DMSP-07,65.686104,-102.57385,7201.469065713138,830.4690657131378
96,DMSP-08,64.46965,107.56123,7224.499252975589,853.4992529755891
97,DMSP-09,28.95867,-58.11410000000001,7195.0291747147285,824.0291747147285
98,DMSP-10,69.11092,-54.19875999999999,7207.45787394725,836.4578739472499
99,DMSP-11,71.912285,93.91901,7219.828954580702,848.828954580702
100,DMSP-12,70.78246,62.25053,7224.8304183279715,853.8304183279715
101,DMSP-13,51.755226,48.990692,7208.793888452381,837.793888452381
102,DMSP-14,64.29717,57.416817,7211.705067015453,840.7050670154531
103,DMSP-15,11.293933,-87.0478,7212.03642813981,841.0364281398097
104,DMSP-16,-3.047323,-92.42102,7228.890446736626,857.8904467366256
105,DMSP-17,-84.47484,38.52573,7226.261202483944,855.2612024839436
106,DMSP-18,-42.99396,-123.95575,7226.871234042928,855.8712340429283
107,DMSP-19,-22.384895,-74.76999999999998,7227.739296042765,856.7392960427651
108,Double Star-1,29.69111,39.93147,6591.916026113592,220.91602611359212
109,Double Star-2,64.505554,107.83962,43370.50778488821,36999.50778488821
111,DSX-SET,-2.067606,-152.44191,18305.10770392035,11934.107703920348
112,ELFIN-A,-68.818085,51.71617,6494.279502850074,123.2795028500741
113,ELFIN-B,67.669235,-145.561,6594.8311283064895,223.83112830648952
114,Equator-S,24.539152,102.08398,71666.70527274281,65295.70527274281
115,Explorer-45,0.66520303,-133.31897,30478.154904991126,24107.154904991126
116,FAST,15.993211,-85.54663,7485.136095953648,1114.1360959536478
119,Freja,14.606828,-16.835050000000024,6914.771408202698,543.7714082026978
121,GCOM-W1,49.18297,27.337128,7078.248393010912,707.248393010912
122,Genesis,-3.8243065,149.18347,176897.20256805135,170526.20256805135
123,Geotail,12.913869,157.21187,177114.8662080419,170743.8662080419
124,Geotail (2-year Predict),-6.5626564,-37.083950000000016,134646.22559437208,128275.22559437208
125,GMS-3,-22.96718,-20.944999999999993,42144.8274750453,35773.8274750453
126,GOCE,62.457844,148.43144,6530.689076702165,159.68907670216504
127,GOES-10,-6.083166,118.977234,42165.28211930608,35794.28211930608
128,GOES-11,-10.244423,-122.66183000000001,42512.604233834834,36141.604233834834
129,GOES-12,-21.139349,169.80063,42532.143544353625,36161.143544353625
130,GOES-13,10.181944,-121.09161,42146.41435722811,35775.41435722811
131,GOES-14,6.5190425,73.18094,42168.62516428245,35797.62516428245
132,GOES-15,-22.754663,-109.98901000000001,42266.46683597315,35895.46683597315
133,GOES-16,-6.644733,103.69139,42165.48169507311,35794.48169507311
